"ID","SMR","Calendar","Eng_Speed_Max","Eng_Speed_Ave","Blowby_Press_Max","LF_Exh_Temp_Max","LR_Exh_Temp_Max","RF_Exh_Temp_Max","RR_Exh_Temp_Max","Boost_Press_Max","E_Oil_P_Max","E_Oil_P_Lo_Min","E_Oil_P_Hi_Min","E_Oil_Tmp_Max","Fuel_Rate","Cool_Temp_Max","Cool_Temp_Min","TM_Oil_Temp_Max","Ambient_Temp_Max","Ambient_Temp_Ave","Ambient_Temp_Min","Atomos_Press_Ave","F_Brake_P_Max","R_Brake_P_Max","Travel_Speed_Max","ECO_ON","Machine_Serial"
"87093610","16076.7","2019-02-04 11:08:41","2324","1474","1271.5407362088","720","694","688","579","16926.685020903","5.9141429591108","1.2236157846436","3.8747833180381","93","79.1","78","36","90","19","9","3","830","189.66044661976","187.62108697869","38.4","454","9550"
"87093609","16056.7","2019-02-03 09:01:37","2234","1553","1158.3562761293","714","688","708","720","16824.71703885","6.5259508514327","1.3255837666973","3.8747833180381","94","84.8","79","18","89","26","13","7","830","189.66044661976","187.62108697869","37.1","602","9550"
"87093608","16036.7","2019-02-01 21:25:57","2242","1502","1200.1631487713","731","567","469","683","16824.71703885","6.2200469052717","1.2236157846436","3.8747833180381","95","83.2","79","40","80","26","13","8","840","189.66044661976","188.64076679922","36.9","1777","9550"
"95222568","14523","2019-03-12 06:59:49","2366","1434","730.09075150403","969","938","689","969","18150.300805547","5.7102069950036","1.0196798205363","3.7728153359845","97","84.2","82","38","88","20","11","6","840","195.77852554298","195.77852554298","36.9","2759","9551"
"95222569","14543","2019-03-13 09:15:43","2382","1474","735.18915060671","969","940","677","969","18150.300805547","5.9141429591108","1.0196798205363","3.7728153359845","95","85.8","81","42","84","26","12","9","850","195.77852554298","196.79820536352","36.7","963","9551"
"95222570","14563","2019-03-14 17:46:35","2314","1447","770.87794432548","969","963","713","969","18048.332823493","6.3220148873254","1.0196798205363","3.6708473539309","102","85.5","88","28","84","29","18","12","850","195.77852554298","195.77852554298","37.3","3301","9551"
"95222571","14583.1","2019-03-16 00:20:54","2348","1539","665.85092281024","969","938","704","969","17946.36484144","6.3220148873254","0.91771183848272","3.5688793718772","100","92.3","86","22","82","23","18","12","840","195.77852554298","195.77852554298","37","978","9551"
"95222580","14763.2","2019-03-27 11:58:31","2333","1523","687.2641990415","969","941","714","969","17640.460895279","6.0161109411645","1.0196798205363","3.6708473539309","97","84.5","85","32","82","24","17","12","840","195.77852554298","195.77852554298","36.1","309","9551"
"95222579","14743.2","2019-03-26 09:04:48","2396","1474","668.90996227185","969","945","719","969","17742.428877333","6.1180789232181","0.91771183848272","3.5688793718772","100","85","87","27","85","27","19","14","840","195.77852554298","195.77852554298","36.5","939","9551"
"95222578","14723.2","2019-03-25 01:58:27","2307","1538","686.24451922096","969","943","707","969","17844.396859386","5.9141429591108","0.91771183848272","3.5688793718772","100","91.6","86","25","83","27","18","11","840","195.77852554298","195.77852554298","36.7","1632","9551"
"95222577","14703.2","2019-03-23 18:57:20","2447","1460","668.90996227185","969","931","692","969","17946.36484144","5.9141429591108","1.0196798205363","3.6708473539309","98","86.8","83","41","89","25","14","8","850","195.77852554298","195.77852554298","37.3","733","9551"
"95222576","14683.2","2019-03-22 15:35:45","2254","1501","704.59875599062","969","967","682","969","18048.332823493","6.423982869379","1.0196798205363","3.7728153359845","97","88.4","82","16","80","20","12","7","850","195.77852554298","196.79820536352","37.7","245","9551"
